news_index,subject,subject_keywords,object,object_keywords,action,action_verb,action_tense,action_normalized,sentence
3,the films striking appearance,"[{'text': 'appearance'}, {'text': 'films'}]",created by a Chinese immigrant artist who took as his inspiration the landscape paintings of the Song dynasty The extent of his contribution to Bambi which remains a mark for film animation would not be widely known for decades Like the films title character the artist Tyrus Wong w,"[{'text': 'Chinese immigrant artist'}, {'text': 'artist Tyrus Wong'}, {'text': 'Song dynasty'}, {'text': 'landscape paintings'}]",been,be,past,be,When Walt Disneys Bambi opened in 1942 critics praised its spare haunting visual style vastly different from anything Disney had done before But what they did not know was that the films striking appearance had been created by a Chinese immigrant artist who took as his inspiration the landscape paintings of the Song dynasty The extent of his contribution to Bambi which remains a mark for film animation would not be widely known for decades Like the films title character the artist Tyrus Wong w
3,by a Chinese immigrant artist who took as his inspiration the landscape paintings of the Song dynasty The extent of his contribution to Bambi which remains a mark for film animation would not be widely known for decades Like the films title character the artist Tyrus Wong w,"[{'text': 'Chinese immigrant artist'}, {'text': 'artist Tyrus Wong'}, {'text': 'Song dynasty'}, {'text': 'landscape paintings'}]",the films striking appearance,"[{'text': 'appearance'}, {'text': 'films'}]",created,create,past,create,When Walt Disneys Bambi opened in 1942 critics praised its spare haunting visual style vastly different from anything Disney had done before But what they did not know was that the films striking appearance had been created by a Chinese immigrant artist who took as his inspiration the landscape paintings of the Song dynasty The extent of his contribution to Bambi which remains a mark for film animation would not be widely known for decades Like the films title character the artist Tyrus Wong w
3,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,Death,[{'text': 'Death'}],the great equalizer,[{'text': 'great equalizer'}],may be,be,future,may be,Death may be the great equalizer but it isnt necessarily evenhanded Of all the fields of endeavor that suffered mortal losses in 2016 consider Muhammad Ali and Arnold Palmer in sports and the Hollywood deaths of Carrie Fisher and Debbie Reynolds the pop music world had hands down the bleakest year Start with David Bowie whose stage persona androgynous glam rocker dance pop star electronic experimentalist was as as his music The year was only days old when the news came tha
4,the fields of endeavor,"[{'text': 'endeavor'}, {'text': 'fields'}]",mortal losses,[{'text': 'mortal losses'}],suffered,suffer,past,suffer,Death may be the great equalizer but it isnt necessarily evenhanded Of all the fields of endeavor that suffered mortal losses in 2016 consider Muhammad Ali and Arnold Palmer in sports and the Hollywood deaths of Carrie Fisher and Debbie Reynolds the pop music world had hands down the bleakest year Start with David Bowie whose stage persona androgynous glam rocker dance pop star electronic experimentalist was as as his music The year was only days old when the news came tha
4,Carrie Fisher and Debbie Reynolds the pop music world,"[{'text': 'Carrie Fisher'}, {'text': 'Debbie Reynolds'}, {'text': 'pop music world'}]",hands,[{'text': 'hands'}],had,have,past,have,Death may be the great equalizer but it isnt necessarily evenhanded Of all the fields of endeavor that suffered mortal losses in 2016 consider Muhammad Ali and Arnold Palmer in sports and the Hollywood deaths of Carrie Fisher and Debbie Reynolds the pop music world had hands down the bleakest year Start with David Bowie whose stage persona androgynous glam rocker dance pop star electronic experimentalist was as as his music The year was only days old when the news came tha
4,the news,[{'text': 'news'}],tha,[{'text': 'tha'}],came,come,past,come,Death may be the great equalizer but it isnt necessarily evenhanded Of all the fields of endeavor that suffered mortal losses in 2016 consider Muhammad Ali and Arnold Palmer in sports and the Hollywood deaths of Carrie Fisher and Debbie Reynolds the pop music world had hands down the bleakest year Start with David Bowie whose stage persona androgynous glam rocker dance pop star electronic experimentalist was as as his music The year was only days old when the news came tha
4,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,SEOUL South Korea North Koreas leader Kim,"[{'text': 'Koreas leader Kim'}, {'text': 'SEOUL South Korea'}]",that his country was making final preparations to conduct its first test of an intercontinental ballistic missile a bold statement less than a month before the inauguration of Donald J Trump Although North Korea has conducted five nuclear tests in the last decade and more than 20 ballistic missile tests in 2016 alone and although it habitually threatens to attack the United States with nuclear weapons the country has never an,"[{'text': 'intercontinental ballistic missile'}, {'text': 'ballistic missile tests'}, {'text': 'Donald J Trump'}, {'text': 'final preparations'}]",said,say,past,say,SEOUL South Korea North Koreas leader Kim said on Sunday that his country was making final preparations to conduct its first test of an intercontinental ballistic missile a bold statement less than a month before the inauguration of Donald J Trump Although North Korea has conducted five nuclear tests in the last decade and more than 20 ballistic missile tests in 2016 alone and although it habitually threatens to attack the United States with nuclear weapons the country has never an
5,his country,[{'text': 'country'}],its first test of an intercontinental ballistic missile a bold statement,"[{'text': 'intercontinental ballistic missile'}, {'text': 'bold statement'}, {'text': 'test'}]",to conduct,conduct,past,to conduct,SEOUL South Korea North Koreas leader Kim said on Sunday that his country was making final preparations to conduct its first test of an intercontinental ballistic missile a bold statement less than a month before the inauguration of Donald J Trump Although North Korea has conducted five nuclear tests in the last decade and more than 20 ballistic missile tests in 2016 alone and although it habitually threatens to attack the United States with nuclear weapons the country has never an
5,it,NA,the United States,[{'text': 'United States'}],threatens to attack,attack,future,threaten to attack,SEOUL South Korea North Koreas leader Kim said on Sunday that his country was making final preparations to conduct its first test of an intercontinental ballistic missile a bold statement less than a month before the inauguration of Donald J Trump Although North Korea has conducted five nuclear tests in the last decade and more than 20 ballistic missile tests in 2016 alone and although it habitually threatens to attack the United States with nuclear weapons the country has never an
5,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,LONDON Queen Elizabeth II,[{'text': 'LONDON Queen Elizabeth'}],a cold,NA,has been battling,battle,past,have be battle,LONDON Queen Elizabeth II who has been battling a cold for more than a week missed a New Years Day church service at her country estate in Sandringham Buckingham Palace said on Sunday A week earlier the queen who is 90 missed a Christmas Day church service for the first time since 1988 because of the illness The Queen does not yet feel ready to attend church as she is still recuperating from a heavy cold the palace said in a statement The queens husband Prince Philip who had also been ill wa
6,LONDON Queen Elizabeth II who has been battling a cold for more than a week,"[{'text': 'LONDON Queen Elizabeth'}, {'text': 'cold'}]",a New Years Day church service at her country estate in Sandringham Buckingham Palace,"[{'text': 'Sandringham Buckingham Palace'}, {'text': 'church service'}, {'text': 'country estate'}, {'text': 'New'}]",missed,miss,past,miss,LONDON Queen Elizabeth II who has been battling a cold for more than a week missed a New Years Day church service at her country estate in Sandringham Buckingham Palace said on Sunday A week earlier the queen who is 90 missed a Christmas Day church service for the first time since 1988 because of the illness The Queen does not yet feel ready to attend church as she is still recuperating from a heavy cold the palace said in a statement The queens husband Prince Philip who had also been ill wa
6,LONDON Queen Elizabeth II who has been battling a cold for more than a week missed a New Years Day church service at her country estate in Sandringham Buckingham Palace,"[{'text': 'Sandringham Buckingham Palace'}, {'text': 'LONDON Queen Elizabeth'}, {'text': 'church service'}, {'text': 'country estate'}]",earlier the queen who is 90 missed a Christmas Day church service for the first time since 1988 because of the illness The Queen does not yet feel ready to attend church as she is still recuperating from a heavy cold the palace said in a statement The queens husband Prince Philip who had also been ill wa,"[{'text': 'queens husband Prince'}, {'text': 'ill wa'}, {'text': 'Christmas Day church'}, {'text': 'illness'}]",said,say,past,say,LONDON Queen Elizabeth II who has been battling a cold for more than a week missed a New Years Day church service at her country estate in Sandringham Buckingham Palace said on Sunday A week earlier the queen who is 90 missed a Christmas Day church service for the first time since 1988 because of the illness The Queen does not yet feel ready to attend church as she is still recuperating from a heavy cold the palace said in a statement The queens husband Prince Philip who had also been ill wa
6,the queen,[{'text': 'queen'}],90 missed a Christmas Day church service,"[{'text': 'Christmas Day church'}, {'text': 'service'}]",is,be,present,be,LONDON Queen Elizabeth II who has been battling a cold for more than a week missed a New Years Day church service at her country estate in Sandringham Buckingham Palace said on Sunday A week earlier the queen who is 90 missed a Christmas Day church service for the first time since 1988 because of the illness The Queen does not yet feel ready to attend church as she is still recuperating from a heavy cold the palace said in a statement The queens husband Prince Philip who had also been ill wa
6,The Queen,[{'text': 'Queen'}],the illness,[{'text': 'illness'}],feel,feel,present,feel,LONDON Queen Elizabeth II who has been battling a cold for more than a week missed a New Years Day church service at her country estate in Sandringham Buckingham Palace said on Sunday A week earlier the queen who is 90 missed a Christmas Day church service for the first time since 1988 because of the illness The Queen does not yet feel ready to attend church as she is still recuperating from a heavy cold the palace said in a statement The queens husband Prince Philip who had also been ill wa
6,The Queen,[{'text': 'Queen'}],church,[{'text': 'church'}],to attend,attend,future,to attend,LONDON Queen Elizabeth II who has been battling a cold for more than a week missed a New Years Day church service at her country estate in Sandringham Buckingham Palace said on Sunday A week earlier the queen who is 90 missed a Christmas Day church service for the first time since 1988 because of the illness The Queen does not yet feel ready to attend church as she is still recuperating from a heavy cold the palace said in a statement The queens husband Prince Philip who had also been ill wa
6,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,Chinas leaders on Saturday,"[{'text': 'Chinas leaders'}, {'text': 'Saturday'}]",they had resorted to military and economic threats in order to intimidate the island Step by step Beijing is going back to the old path of dividing coercing and even threatening and intimidating Taiwan she told journalists in Taipei the capital at a news conference Tensions between Taiwan and China which have been rivals since the Communist Revolution of 1949 intensified in December after Ms Tsai spoke,"[{'text': 'news conference Tensions'}, {'text': 'Ms Tsai'}, {'text': 'economic threats'}, {'text': 'old path'}]",saying,say,present,say,BEIJING President Tsai of Taiwan sharply criticized Chinas leaders on Saturday saying they had resorted to military and economic threats in order to intimidate the island Step by step Beijing is going back to the old path of dividing coercing and even threatening and intimidating Taiwan she told journalists in Taipei the capital at a news conference Tensions between Taiwan and China which have been rivals since the Communist Revolution of 1949 intensified in December after Ms Tsai spoke
7,they,NA,the island Step,[{'text': 'island Step'}],to intimidate,intimidate,future,to intimidate,BEIJING President Tsai of Taiwan sharply criticized Chinas leaders on Saturday saying they had resorted to military and economic threats in order to intimidate the island Step by step Beijing is going back to the old path of dividing coercing and even threatening and intimidating Taiwan she told journalists in Taipei the capital at a news conference Tensions between Taiwan and China which have been rivals since the Communist Revolution of 1949 intensified in December after Ms Tsai spoke
7,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,Danny Cahill,[{'text': 'Danny Cahill'}],slightly dazed,NA,stood,stand,past,stand,Danny Cahill stood slightly dazed in a blizzard of confetti as the audience screamed and his family ran on stage He had won Season 8 of NBCs reality television show The Biggest Loser shedding more weight than anyone ever had on the program an astonishing 239 pounds in seven months When he got on the scale for all to see that evening Dec 8 2009 he weighed just 191 pounds down from 430 Dressed in a and shorts he was lean athletic and as handsome as a model Ive got my life back he declared
8,Danny Cahill,[{'text': 'Danny Cahill'}],NA,NA,stood slightly dazed,daze,past,stand slightly daze,Danny Cahill stood slightly dazed in a blizzard of confetti as the audience screamed and his family ran on stage He had won Season 8 of NBCs reality television show The Biggest Loser shedding more weight than anyone ever had on the program an astonishing 239 pounds in seven months When he got on the scale for all to see that evening Dec 8 2009 he weighed just 191 pounds down from 430 Dressed in a and shorts he was lean athletic and as handsome as a model Ive got my life back he declared
8,He,NA,Season,[{'text': 'Season'}],had won,win,past,have win,Danny Cahill stood slightly dazed in a blizzard of confetti as the audience screamed and his family ran on stage He had won Season 8 of NBCs reality television show The Biggest Loser shedding more weight than anyone ever had on the program an astonishing 239 pounds in seven months When he got on the scale for all to see that evening Dec 8 2009 he weighed just 191 pounds down from 430 Dressed in a and shorts he was lean athletic and as handsome as a model Ive got my life back he declared
8,The Biggest Loser,[{'text': 'Biggest Loser'}],more weight,[{'text': 'weight'}],shedding,shed,present,shed,Danny Cahill stood slightly dazed in a blizzard of confetti as the audience screamed and his family ran on stage He had won Season 8 of NBCs reality television show The Biggest Loser shedding more weight than anyone ever had on the program an astonishing 239 pounds in seven months When he got on the scale for all to see that evening Dec 8 2009 he weighed just 191 pounds down from 430 Dressed in a and shorts he was lean athletic and as handsome as a model Ive got my life back he declared
8,anyone,NA,NA,NA,had,have,past,have,Danny Cahill stood slightly dazed in a blizzard of confetti as the audience screamed and his family ran on stage He had won Season 8 of NBCs reality television show The Biggest Loser shedding more weight than anyone ever had on the program an astonishing 239 pounds in seven months When he got on the scale for all to see that evening Dec 8 2009 he weighed just 191 pounds down from 430 Dressed in a and shorts he was lean athletic and as handsome as a model Ive got my life back he declared
8,he,NA,on the scale,[{'text': 'scale'}],got,get,past,get,Danny Cahill stood slightly dazed in a blizzard of confetti as the audience screamed and his family ran on stage He had won Season 8 of NBCs reality television show The Biggest Loser shedding more weight than anyone ever had on the program an astonishing 239 pounds in seven months When he got on the scale for all to see that evening Dec 8 2009 he weighed just 191 pounds down from 430 Dressed in a and shorts he was lean athletic and as handsome as a model Ive got my life back he declared
8,he,NA,that evening Dec 8 2009 he weighed just 191 pounds down from 430 Dressed in a and shorts,"[{'text': 'Dec'}, {'text': 'pounds'}, {'text': 'evening'}, {'text': 'shorts'}]",to see,see,future,to see,Danny Cahill stood slightly dazed in a blizzard of confetti as the audience screamed and his family ran on stage He had won Season 8 of NBCs reality television show The Biggest Loser shedding more weight than anyone ever had on the program an astonishing 239 pounds in seven months When he got on the scale for all to see that evening Dec 8 2009 he weighed just 191 pounds down from 430 Dressed in a and shorts he was lean athletic and as handsome as a model Ive got my life back he declared
8,he,NA,just 191 pounds down from 430 Dressed in a and shorts he was lean athletic and as handsome as a model Ive got my life,"[{'text': 'model Ive'}, {'text': 'pounds'}, {'text': 'shorts'}, {'text': 'life'}]",weighed,weigh,past,weigh,Danny Cahill stood slightly dazed in a blizzard of confetti as the audience screamed and his family ran on stage He had won Season 8 of NBCs reality television show The Biggest Loser shedding more weight than anyone ever had on the program an astonishing 239 pounds in seven months When he got on the scale for all to see that evening Dec 8 2009 he weighed just 191 pounds down from 430 Dressed in a and shorts he was lean athletic and as handsome as a model Ive got my life back he declared
8,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,Hillary Kerr the founder of a digital media company in Los Angeles She,"[{'text': 'Hillary Kerr'}, {'text': 'digital media company'}, {'text': 'Los Angeles'}, {'text': 'founder'}]",what song was playing five years ago on the jukebox at the bar where she somewhat randomly met the man who became her husband It was These Days the version,"[{'text': 'jukebox'}, {'text': 'husband'}, {'text': 'song'}, {'text': 'bar'}]",can tell,tell,future,can tell,Just how is Hillary Kerr the founder of a digital media company in Los Angeles She can tell you what song was playing five years ago on the jukebox at the bar where she somewhat randomly met the man who became her husband It was These Days the version sung by Nico the German made famous by Andy Warhol and the Velvet Underground Actually the song had been playing just before she met Jonathan Leahy now 38 on that December night in 2011 at the 4100 Bar in the Silver Lake district of Los An
9,what song,[{'text': 'song'}],playing five years ago on the jukebox at the bar where she somewhat randomly met the man who became her husband It was These Days the version sung,"[{'text': 'version sung'}, {'text': 'jukebox'}, {'text': 'husband'}, {'text': 'bar'}]",was,be,future,be,Just how is Hillary Kerr the founder of a digital media company in Los Angeles She can tell you what song was playing five years ago on the jukebox at the bar where she somewhat randomly met the man who became her husband It was These Days the version sung by Nico the German made famous by Andy Warhol and the Velvet Underground Actually the song had been playing just before she met Jonathan Leahy now 38 on that December night in 2011 at the 4100 Bar in the Silver Lake district of Los An
9,she,NA,the man who became her husband It was These Days the version sung by Nico the German made famous,"[{'text': 'Nico'}, {'text': 'husband'}, {'text': 'man'}, {'text': 'version'}]",met,meet,past,meet,Just how is Hillary Kerr the founder of a digital media company in Los Angeles She can tell you what song was playing five years ago on the jukebox at the bar where she somewhat randomly met the man who became her husband It was These Days the version sung by Nico the German made famous by Andy Warhol and the Velvet Underground Actually the song had been playing just before she met Jonathan Leahy now 38 on that December night in 2011 at the 4100 Bar in the Silver Lake district of Los An
9,the man,[{'text': 'man'}],her husband It was These Days the version,"[{'text': 'husband'}, {'text': 'version'}]",became,become,past,become,Just how is Hillary Kerr the founder of a digital media company in Los Angeles She can tell you what song was playing five years ago on the jukebox at the bar where she somewhat randomly met the man who became her husband It was These Days the version sung by Nico the German made famous by Andy Warhol and the Velvet Underground Actually the song had been playing just before she met Jonathan Leahy now 38 on that December night in 2011 at the 4100 Bar in the Silver Lake district of Los An
9,It,NA,NA,NA,was,be,past,be,Just how is Hillary Kerr the founder of a digital media company in Los Angeles She can tell you what song was playing five years ago on the jukebox at the bar where she somewhat randomly met the man who became her husband It was These Days the version sung by Nico the German made famous by Andy Warhol and the Velvet Underground Actually the song had been playing just before she met Jonathan Leahy now 38 on that December night in 2011 at the 4100 Bar in the Silver Lake district of Los An
9,by Nico the German,[{'text': 'Nico'}],the version,[{'text': 'version'}],sung,sing,past,sing,Just how is Hillary Kerr the founder of a digital media company in Los Angeles She can tell you what song was playing five years ago on the jukebox at the bar where she somewhat randomly met the man who became her husband It was These Days the version sung by Nico the German made famous by Andy Warhol and the Velvet Underground Actually the song had been playing just before she met Jonathan Leahy now 38 on that December night in 2011 at the 4100 Bar in the Silver Lake district of Los An
9,famous,NA,by Andy Warhol,[{'text': 'Andy Warhol'}],made,make,past,make,Just how is Hillary Kerr the founder of a digital media company in Los Angeles She can tell you what song was playing five years ago on the jukebox at the bar where she somewhat randomly met the man who became her husband It was These Days the version sung by Nico the German made famous by Andy Warhol and the Velvet Underground Actually the song had been playing just before she met Jonathan Leahy now 38 on that December night in 2011 at the 4100 Bar in the Silver Lake district of Los An
9,the song,[{'text': 'song'}],playing,NA,been,be,past,be,Just how is Hillary Kerr the founder of a digital media company in Los Angeles She can tell you what song was playing five years ago on the jukebox at the bar where she somewhat randomly met the man who became her husband It was These Days the version sung by Nico the German made famous by Andy Warhol and the Velvet Underground Actually the song had been playing just before she met Jonathan Leahy now 38 on that December night in 2011 at the 4100 Bar in the Silver Lake district of Los An
9,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,Angels,[{'text': 'Angels'}],everywhere,NA,are,be,present,be,Angels are everywhere in the Muiz familys apartment in the Bronx paintings of angels on the wall ceramic angels flanking the ancient VCR angels strumming lyres or blowing little golden trumpets on the bathroom shelves As Jos and Zoraida Muiz and their children have struggled to deal with a series of trials and setbacks including cancer debilitating epilepsy deep depression and near eviction it has sometimes seemed as if angels and love were the only forces holding things together Zoraidas earl
10,the ancient VCR angels,[{'text': 'ancient VCR angels'}],lyres,[{'text': 'lyres'}],strumming,strum,present,strum,Angels are everywhere in the Muiz familys apartment in the Bronx paintings of angels on the wall ceramic angels flanking the ancient VCR angels strumming lyres or blowing little golden trumpets on the bathroom shelves As Jos and Zoraida Muiz and their children have struggled to deal with a series of trials and setbacks including cancer debilitating epilepsy deep depression and near eviction it has sometimes seemed as if angels and love were the only forces holding things together Zoraidas earl
